Year AD,Year BS,Causes of accident,Number
2007/08  ,2064/65,Negligence by driver,1491
2007/08  ,2064/65,Negligence by pedestrian,492
2007/08  ,2064/65,Overtaking,546
2007/08  ,2064/65,High speed,962
2007/08  ,2064/65,Drinking and driving,461
2007/08  ,2064/65,Technical  fault of vehicle,310
2007/08  ,2064/65,Overload,339
2007/08  ,2064/65,cattle on the road,17
2007/08  ,2064/65,Miscellaneous,19
2008/09  ,2065/66,Negligence by driver,1896
2008/09  ,2065/66,Negligence by pedestrian,629
2008/09  ,2065/66,Overtaking,569
2008/09  ,2065/66,High speed,1066
2008/09  ,2065/66,Drinking and driving,434
2008/09  ,2065/66,Technical  fault of vehicle,440
2008/09  ,2065/66,Overload,434
2008/09  ,2065/66,cattle on the road,24
2008/09  ,2065/66,Miscellaneous,27
2009/10 ,2066/67,Negligence by driver,2315
2009/10 ,2066/67,Negligence by pedestrian,1011
2009/10 ,2066/67,Overtaking,939
2009/10 ,2066/67,High speed,1451
2009/10 ,2066/67,Drinking and driving,504
2009/10 ,2066/67,Technical  fault of vehicle,523
2009/10 ,2066/67,Overload,484
2009/10 ,2066/67,cattle on the road,39
2009/10 ,2066/67,Miscellaneous,11
2011/12 ,2068/69,Negligence by driver,5795
2011/12 ,2068/69,Negligence by pedestrian,361
2011/12 ,2068/69,Overtaking,528
2011/12 ,2068/69,High speed,1453
2011/12 ,2068/69,Drinking and driving,240
2011/12 ,2068/69,Technical  fault of vehicle,325
2011/12 ,2068/69,Overload,104
2011/12 ,2068/69,cattle on the road,34
2011/12 ,2068/69,Miscellaneous,52
