District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Achham,Seti,Hill,Far-Western,Non-formal Education & National Literacy Campaign,Education,22597.89
Achham,Seti,Hill,Far-Western,School Sector Reform Program,Education,226173.0
Achham,Seti,Hill,Far-Western,Integrated District Health Program,"Health, Nutrition and Population",143154.0
Achham,Seti,Hill,Far-Western,Tuberculosis Control,"Health, Nutrition and Population",2267.0
Achham,Seti,Hill,Far-Western,Ayurveda Service Program,"Health, Nutrition and Population",2635.0
Achham,Seti,Hill,Far-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4600.0
Achham,Seti,Hill,Far-Western,National Training Program,"Health, Nutrition and Population",150.0
Achham,Seti,Hill,Far-Western,National Forest Development & Management Program,Forest and Land Conservation,130.0
Achham,Seti,Hill,Far-Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2135.0
Achham,Seti,Hill,Far-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,11051.0
Achham,Seti,Hill,Far-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,539.0
Achham,Seti,Hill,Far-Western,Agricultural Extension Program,Farm and Food Security,18050.0
Achham,Seti,Hill,Far-Western,Integrated Water Resource Management Project,Farm and Food Security,762.0
Achham,Seti,Hill,Far-Western,Soil Test Service Program,Farm and Food Security,1325.0
Achham,Seti,Hill,Far-Western,Crop Development Program,Farm and Food Security,881.0
Achham,Seti,Hill,Far-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,9921.0
Achham,Seti,Hill,Far-Western,Livestock Service Extension Program,Farm and Food Security,15555.0
Achham,Seti,Hill,Far-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,800.0
Achham,Seti,Hill,Far-Western,Community Livestock Development Project,Farm and Food Security,2035.0
Achham,Seti,Hill,Far-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,453.0
Achham,Seti,Hill,Far-Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,744.0
Achham,Seti,Hill,Far-Western,Veterinary Health Service Program,Farm and Food Security,395.0
Arghakhanchi,Lumbini,Hill,Western,Non-formal Education & National Literacy Campaign,Education,8079.17
Arghakhanchi,Lumbini,Hill,Western,School Sector Reform Program,Education,178270.0
