Year AD,Year BS,Type of vehicle,Number of vehicle
2000/01,2057/58,Bus,197
2000/01,2057/58,Mini Bus,416
2000/01,2057/58,Truck/ Mini truck,509
2000/01,2057/58,car / Jeep/van,3754
2000/01,2057/58,Tempo,143
2000/01,2057/58,rackter/ power tello,132
2000/01,2057/58,Ambulance,7
2000/01,2057/58,C.D/U.N,117
2000/01,2057/58,Motorcycle,18728
2001/02,2058/59,Bus,170
2001/02,2058/59,Mini Bus,472
2001/02,2058/59,Truck/ Mini truck,751
2001/02,2058/59,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,31
2001/02,2058/59,car / Jeep/van,2568
2001/02,2058/59,Tempo,137
2001/02,2058/59,Ambulance,25
2001/02,2058/59,Motorcycle,22535
2002/03,2059/60,Bus,236
2002/03,2059/60,Mini Bus,232
2002/03,2059/60,Truck/ Mini truck,744
2002/03,2059/60,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,49
2002/03,2059/60,car / Jeep/van,1847
2002/03,2059/60,Pickup,351
2002/03,2059/60,Micro Bus,173
2002/03,2059/60,Tempo,9
2002/03,2059/60,Ambulance,26
2002/03,2059/60,C.D/U.N,154
2002/03,2059/60,Motorcycle,19322
2003/04,2060/61,Bus,285
2003/04,2060/61,Mini Bus,116
2003/04,2060/61,Truck/ Mini truck,540
2003/04,2060/61,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,11
2003/04,2060/61,car / Jeep/van,4961
2003/04,2060/61,Pickup,347
2003/04,2060/61,Micro Bus,675
2003/04,2060/61,Tempo,8
2003/04,2060/61,rackter/ power tello,4
2003/04,2060/61,Ambulance,8
2003/04,2060/61,Motorcycle,18289
2004/05,2061/62,Bus,198
2004/05,2061/62,Mini Bus,445
2004/05,2061/62,Truck/ Mini truck,440
2004/05,2061/62,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,58
2004/05,2061/62,car / Jeep/van,3156
2004/05,2061/62,Micro Bus,331
2004/05,2061/62,Tempo,24
2004/05,2061/62,Ambulance,7
2004/05,2061/62,C.D/U.N,114
2004/05,2061/62,Motorcycle,18986
2005/06,2062/63,Bus,806
2005/06,2062/63,Mini Bus,242
2005/06,2062/63,Truck/ Mini truck,1007
2005/06,2062/63,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,35
2005/06,2062/63,car / Jeep/van,3369
2005/06,2062/63,Pickup,17
2005/06,2062/63,Micro Bus,34
2005/06,2062/63,Tempo,36
2005/06,2062/63,C.D/U.N,234
2005/06,2062/63,Motorcycle,21001
2006/07,2063/64,Bus,420
2006/07,2063/64,Mini Bus,380
2006/07,2063/64,Truck/ Mini truck,509
2006/07,2063/64,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,81
2006/07,2063/64,car / Jeep/van,3624
2006/07,2063/64,Pickup,492
2006/07,2063/64,Micro Bus,79
2006/07,2063/64,Tempo,4
2006/07,2063/64,rackter/ power tello,48
2006/07,2063/64,Ambulance,39
2006/07,2063/64,C.D/U.N,80
2006/07,2063/64,Motorcycle,32503
2007/08,2064/65,Bus,531
2007/08,2064/65,Mini Bus,504
2007/08,2064/65,Truck/ Mini truck,948
2007/08,2064/65,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,191
2007/08,2064/65,car / Jeep/van,3359
2007/08,2064/65,Pickup,865
2007/08,2064/65,Micro Bus,17
2007/08,2064/65,Tempo,11
2007/08,2064/65,Ambulance,65
2007/08,2064/65,C.D/U.N,0
2007/08,2064/65,Motorcycle,36394
2008/09,2065/66,Bus,674
2008/09,2065/66,Mini Bus,490
2008/09,2065/66,Truck/ Mini truck,1230
2008/09,2065/66,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,383
2008/09,2065/66,car / Jeep/van,4362
2008/09,2065/66,Pickup,672
2008/09,2065/66,Micro Bus,53
2008/09,2065/66,Tempo,9
2008/09,2065/66,Ambulance,50
2008/09,2065/66,C.D/U.N,113
2008/09,2065/66,Motorcycle,42054
2009/10,2066/67,Bus,497
2009/10,2066/67,Mini Bus,268
2009/10,2066/67,Truck/ Mini truck,1488
2009/10,2066/67,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,748
2009/10,2066/67,car / Jeep/van,7435
2009/10,2066/67,Pickup,979
2009/10,2066/67,Micro Bus,78
2009/10,2066/67,Tempo,1
2009/10,2066/67,rackter/ power tello,4
2009/10,2066/67,Ambulance,53
2009/10,2066/67,C.D/U.N,126
2009/10,2066/67,Motorcycle,70527
2010/11,2067/68,Bus,389
2010/11,2067/68,Mini Bus,279
2010/11,2067/68,Truck/ Mini truck,801
2010/11,2067/68,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,435
2010/11,2067/68,car / Jeep/van,5417
2010/11,2067/68,Pickup,1523
2010/11,2067/68,Tempo,3
2010/11,2067/68,rackter/ power tello,1
2010/11,2067/68,Ambulance,28
2010/11,2067/68,C.D/U.N,0
2010/11,2067/68,Motorcycle,55065
2011/12,2068/69,Bus,392
2011/12,2068/69,Mini Bus,268
2011/12,2068/69,Truck/ Mini truck,355
2011/12,2068/69,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,173
2011/12,2068/69,car / Jeep/van,5561
2011/12,2068/69,Pickup,1387
2011/12,2068/69,Micro Bus,60
2011/12,2068/69,Tempo,0
2011/12,2068/69,rackter/ power tello,11
2011/12,2068/69,Ambulance,33
2011/12,2068/69,C.D/U.N,0
2011/12,2068/69,Motorcycle,44894
2012/13,2069/70,Bus,611
2012/13,2069/70,Mini Bus,374
2012/13,2069/70,Truck/ Mini truck,319
2012/13,2069/70,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,417
2012/13,2069/70,car / Jeep/van,6334
2012/13,2069/70,Pickup,2561
2012/13,2069/70,Micro Bus,105
2012/13,2069/70,Tempo,0
2012/13,2069/70,rackter/ power tello,4
2012/13,2069/70,Ambulance,28
2012/13,2069/70,C.D/U.N,14
2012/13,2069/70,Motorcycle,54051
2013/14,2070/71,Bus,217
2013/14,2070/71,Mini Bus,65
2013/14,2070/71,Truck/ Mini truck,105
2013/14,2070/71,Cren/Dazar/ Roler/Excav eter/lodar/gr eder,110
2013/14,2070/71,car / Jeep/van,3328
2013/14,2070/71,Pickup,877
2013/14,2070/71,Micro Bus,23
2013/14,2070/71,Tempo,0
2013/14,2070/71,rackter/ power tello,2
2013/14,2070/71,Ambulance,7
2013/14,2070/71,C.D/U.N,8
