District,Zone,Geographical Region,Development Region,Categories,Values
Taplejung,Mechi,Mountain,Eastern,Population 2011,127461.0
Taplejung,Mechi,Mountain,Eastern,Total Area  in Sq.km,3646.0
Taplejung,Mechi,Mountain,Eastern,Type of Road Black Topped,0.0
Taplejung,Mechi,Mountain,Eastern,Type of Road Graveled ,25.5
Taplejung,Mechi,Mountain,Eastern,Type of Road Earthern,7.6
Taplejung,Mechi,Mountain,Eastern,Total Road,33.1
Taplejung,Mechi,Mountain,Eastern,Population Influence per km Road,3851.0
Taplejung,Mechi,Mountain,Eastern,Road Density (km./100 sq.km.),1.0
Panchthar,Mechi,Hill,Eastern,Population 2011,191817.0
Panchthar,Mechi,Hill,Eastern,Total Area  in Sq.km,1241.0
Panchthar,Mechi,Hill,Eastern,Type of Road Black Topped,34.86
Panchthar,Mechi,Hill,Eastern,Type of Road Graveled ,57.0
Panchthar,Mechi,Hill,Eastern,Type of Road Earthern,107.0
Panchthar,Mechi,Hill,Eastern,Total Road,198.86
Panchthar,Mechi,Hill,Eastern,Population Influence per km Road,965.0
Panchthar,Mechi,Hill,Eastern,Road Density (km./100 sq.km.),16.0
Ilam,Mechi,Hill,Eastern,Population 2011,290254.0
Ilam,Mechi,Hill,Eastern,Total Area  in Sq.km,1703.0
Ilam,Mechi,Hill,Eastern,Type of Road Black Topped,108.75
Ilam,Mechi,Hill,Eastern,Type of Road Graveled ,12.1
Ilam,Mechi,Hill,Eastern,Type of Road Earthern,127.1
Ilam,Mechi,Hill,Eastern,Total Road,247.95
Ilam,Mechi,Hill,Eastern,Population Influence per km Road,1171.0
Ilam,Mechi,Hill,Eastern,Road Density (km./100 sq.km.),15.0
Jhapa,Mechi,Terai,Eastern,Population 2011,812650.0
Jhapa,Mechi,Terai,Eastern,Total Area  in Sq.km,1606.0
Jhapa,Mechi,Terai,Eastern,Type of Road Black Topped,139.92
Jhapa,Mechi,Terai,Eastern,Type of Road Graveled ,39.68
Jhapa,Mechi,Terai,Eastern,Type of Road Earthern,17.0
Jhapa,Mechi,Terai,Eastern,Total Road,196.6
Jhapa,Mechi,Terai,Eastern,Population Influence per km Road,4134.0
Jhapa,Mechi,Terai,Eastern,Road Density (km./100 sq.km.),12.0
Morang,Kosi,Terai,Eastern,Population 2011,965370.0
Morang,Kosi,Terai,Eastern,Total Area  in Sq.km,1855.0
Morang,Kosi,Terai,Eastern,Type of Road Black Topped,150.52
Morang,Kosi,Terai,Eastern,Type of Road Graveled ,25.5
Morang,Kosi,Terai,Eastern,Type of Road Earthern,40.2
Morang,Kosi,Terai,Eastern,Total Road,216.22
Morang,Kosi,Terai,Eastern,Population Influence per km Road,4465.0
Morang,Kosi,Terai,Eastern,Road Density (km./100 sq.km.),12.0
Sunsari,Kosi,Terai,Eastern,Population 2011,763487.0
Sunsari,Kosi,Terai,Eastern,Total Area  in Sq.km,1257.0
Sunsari,Kosi,Terai,Eastern,Type of Road Black Topped,115.03
Sunsari,Kosi,Terai,Eastern,Type of Road Graveled ,66.0
Sunsari,Kosi,Terai,Eastern,Type of Road Earthern,10.0
Sunsari,Kosi,Terai,Eastern,Total Road,191.03
Sunsari,Kosi,Terai,Eastern,Population Influence per km Road,3997.0
Sunsari,Kosi,Terai,Eastern,Road Density (km./100 sq.km.),15.0
Dhankuta,Kosi,Hill,Eastern,Population 2011,163412.0
Dhankuta,Kosi,Hill,Eastern,Total Area  in Sq.km,891.0
Dhankuta,Kosi,Hill,Eastern,Type of Road Black Topped,76.68
Dhankuta,Kosi,Hill,Eastern,Type of Road Graveled ,49.0
Dhankuta,Kosi,Hill,Eastern,Type of Road Earthern,9.0
Dhankuta,Kosi,Hill,Eastern,Total Road,134.68
Dhankuta,Kosi,Hill,Eastern,Population Influence per km Road,1213.0
Dhankuta,Kosi,Hill,Eastern,Road Density (km./100 sq.km.),15.0
Terhathum,Kosi,Hill,Eastern,Population 2011,101577.0
Terhathum,Kosi,Hill,Eastern,Total Area  in Sq.km,679.0
Terhathum,Kosi,Hill,Eastern,Type of Road Black Topped,8.42
Terhathum,Kosi,Hill,Eastern,Type of Road Graveled ,0.0
Terhathum,Kosi,Hill,Eastern,Type of Road Earthern,76.25
Terhathum,Kosi,Hill,Eastern,Total Road,84.67
Terhathum,Kosi,Hill,Eastern,Population Influence per km Road,1200.0
Terhathum,Kosi,Hill,Eastern,Road Density (km./100 sq.km.),12.0
Sankhuwasabha,Kosi,Mountain,Eastern,Population 2011,158742.0
Sankhuwasabha,Kosi,Mountain,Eastern,Total Area  in Sq.km,3480.0
Sankhuwasabha,Kosi,Mountain,Eastern,Type of Road Black Topped,47.7
Sankhuwasabha,Kosi,Mountain,Eastern,Type of Road Graveled ,25.0
Sankhuwasabha,Kosi,Mountain,Eastern,Type of Road Earthern,62.0
Sankhuwasabha,Kosi,Mountain,Eastern,Total Road,134.7
Sankhuwasabha,Kosi,Mountain,Eastern,Population Influence per km Road,1178.0
Sankhuwasabha,Kosi,Mountain,Eastern,Road Density (km./100 sq.km.),4.0
Bhojpur,Kosi,Hill,Eastern,Population 2011,182459.0
Bhojpur,Kosi,Hill,Eastern,Total Area  in Sq.km,1507.0
Bhojpur,Kosi,Hill,Eastern,Type of Road Black Topped,0.0
Bhojpur,Kosi,Hill,Eastern,Type of Road Graveled ,7.5
Bhojpur,Kosi,Hill,Eastern,Type of Road Earthern,108.5
Bhojpur,Kosi,Hill,Eastern,Total Road,116.0
Bhojpur,Kosi,Hill,Eastern,Population Influence per km Road,1573.0
Bhojpur,Kosi,Hill,Eastern,Road Density (km./100 sq.km.),8.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Population 2011,105886.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Total Area  in Sq.km,3312.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Type of Road Black Topped,0.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Type of Road Graveled ,0.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Type of Road Earthern,37.2
Solukhumbu,Sagarmatha,Mountain,Eastern,Total Road,37.2
Solukhumbu,Sagarmatha,Mountain,Eastern,Population Influence per km Road,2846.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Road Density (km./100 sq.km.),1.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Population 2011,147984.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Total Area  in Sq.km,1074.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Type of Road Black Topped,0.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Type of Road Graveled ,8.79
Okhaldhunga,Sagarmatha,Hill,Eastern,Type of Road Earthern,62.91
Okhaldhunga,Sagarmatha,Hill,Eastern,Total Road,71.7
Okhaldhunga,Sagarmatha,Hill,Eastern,Population Influence per km Road,2064.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Road Density (km./100 sq.km.),7.0
Khotang,Sagarmatha,Hill,Eastern,Population 2011,206312.0
Khotang,Sagarmatha,Hill,Eastern,Total Area  in Sq.km,1591.0
Khotang,Sagarmatha,Hill,Eastern,Type of Road Black Topped,0.0
Khotang,Sagarmatha,Hill,Eastern,Type of Road Graveled ,0.0
Khotang,Sagarmatha,Hill,Eastern,Type of Road Earthern,196.76
Khotang,Sagarmatha,Hill,Eastern,Total Road,196.76
Khotang,Sagarmatha,Hill,Eastern,Population Influence per km Road,1049.0
Khotang,Sagarmatha,Hill,Eastern,Road Density (km./100 sq.km.),12.0
Udayapur,Sagarmatha,Hill,Eastern,Population 2011,317532.0
Udayapur,Sagarmatha,Hill,Eastern,Total Area  in Sq.km,2063.0
Udayapur,Sagarmatha,Hill,Eastern,Type of Road Black Topped,90.86
Udayapur,Sagarmatha,Hill,Eastern,Type of Road Graveled ,42.0
Udayapur,Sagarmatha,Hill,Eastern,Type of Road Earthern,111.0
Udayapur,Sagarmatha,Hill,Eastern,Total Road,243.86
Udayapur,Sagarmatha,Hill,Eastern,Population Influence per km Road,1302.0
Udayapur,Sagarmatha,Hill,Eastern,Road Density (km./100 sq.km.),12.0
Saptari,Sagarmatha,Terai,Eastern,Population 2011,639284.0
Saptari,Sagarmatha,Terai,Eastern,Total Area  in Sq.km,1363.0
Saptari,Sagarmatha,Terai,Eastern,Type of Road Black Topped,135.0
Saptari,Sagarmatha,Terai,Eastern,Type of Road Graveled ,65.5
Saptari,Sagarmatha,Terai,Eastern,Type of Road Earthern,46.0
Saptari,Sagarmatha,Terai,Eastern,Total Road,246.5
Saptari,Sagarmatha,Terai,Eastern,Population Influence per km Road,2593.0
Saptari,Sagarmatha,Terai,Eastern,Road Density (km./100 sq.km.),18.0
Siraha,Sagarmatha,Terai,Eastern,Population 2011,637328.0
Siraha,Sagarmatha,Terai,Eastern,Total Area  in Sq.km,1188.0
Siraha,Sagarmatha,Terai,Eastern,Type of Road Black Topped,111.93
Siraha,Sagarmatha,Terai,Eastern,Type of Road Graveled ,19.0
Siraha,Sagarmatha,Terai,Eastern,Type of Road Earthern,14.0
Siraha,Sagarmatha,Terai,Eastern,Total Road,144.93
Siraha,Sagarmatha,Terai,Eastern,Population Influence per km Road,4397.0
Siraha,Sagarmatha,Terai,Eastern,Road Density (km./100 sq.km.),12.0
Dhanusa,Janakpur,Terai,Central,Population 2011,754777.0
Dhanusa,Janakpur,Terai,Central,Total Area  in Sq.km,1180.0
Dhanusa,Janakpur,Terai,Central,Type of Road Black Topped,104.15
Dhanusa,Janakpur,Terai,Central,Type of Road Graveled ,47.5
Dhanusa,Janakpur,Terai,Central,Type of Road Earthern,43.5
Dhanusa,Janakpur,Terai,Central,Total Road,195.15
Dhanusa,Janakpur,Terai,Central,Population Influence per km Road,3868.0
Dhanusa,Janakpur,Terai,Central,Road Density (km./100 sq.km.),17.0
Mahottari,Janakpur,Terai,Central,Population 2011,627580.0
Mahottari,Janakpur,Terai,Central,Total Area  in Sq.km,1002.0
Mahottari,Janakpur,Terai,Central,Type of Road Black Topped,99.79
Mahottari,Janakpur,Terai,Central,Type of Road Graveled ,59.0
Mahottari,Janakpur,Terai,Central,Type of Road Earthern,26.5
Mahottari,Janakpur,Terai,Central,Total Road,185.29
Mahottari,Janakpur,Terai,Central,Population Influence per km Road,3387.0
Mahottari,Janakpur,Terai,Central,Road Density (km./100 sq.km.),18.0
Sarlahi,Janakpur,Terai,Central,Population 2011,769729.0
Sarlahi,Janakpur,Terai,Central,Total Area  in Sq.km,1259.0
Sarlahi,Janakpur,Terai,Central,Type of Road Black Topped,58.22
Sarlahi,Janakpur,Terai,Central,Type of Road Graveled ,85.2
Sarlahi,Janakpur,Terai,Central,Type of Road Earthern,38.0
Sarlahi,Janakpur,Terai,Central,Total Road,181.42
Sarlahi,Janakpur,Terai,Central,Population Influence per km Road,4243.0
Sarlahi,Janakpur,Terai,Central,Road Density (km./100 sq.km.),14.0
Sindhuli,Janakpur,Hill,Central,Population 2011,296192.0
Sindhuli,Janakpur,Hill,Central,Total Area  in Sq.km,2491.0
Sindhuli,Janakpur,Hill,Central,Type of Road Black Topped,42.5
Sindhuli,Janakpur,Hill,Central,Type of Road Graveled ,29.6
Sindhuli,Janakpur,Hill,Central,Type of Road Earthern,129.9
Sindhuli,Janakpur,Hill,Central,Total Road,202.0
Sindhuli,Janakpur,Hill,Central,Population Influence per km Road,1466.0
Sindhuli,Janakpur,Hill,Central,Road Density (km./100 sq.km.),8.0
Ramechhap,Janakpur,Hill,Central,Population 2011,202646.0
Ramechhap,Janakpur,Hill,Central,Total Area  in Sq.km,1546.0
Ramechhap,Janakpur,Hill,Central,Type of Road Black Topped,2.0
Ramechhap,Janakpur,Hill,Central,Type of Road Graveled ,25.7
Ramechhap,Janakpur,Hill,Central,Type of Road Earthern,49.3
Ramechhap,Janakpur,Hill,Central,Total Road,77.0
Ramechhap,Janakpur,Hill,Central,Population Influence per km Road,2632.0
Ramechhap,Janakpur,Hill,Central,Road Density (km./100 sq.km.),5.0
Dolakha,Janakpur,Mountain,Central,Population 2011,186557.0
Dolakha,Janakpur,Mountain,Central,Total Area  in Sq.km,2191.0
Dolakha,Janakpur,Mountain,Central,Type of Road Black Topped,86.68
Dolakha,Janakpur,Mountain,Central,Type of Road Graveled ,30.0
Dolakha,Janakpur,Mountain,Central,Type of Road Earthern,20.0
Dolakha,Janakpur,Mountain,Central,Total Road,136.68
Dolakha,Janakpur,Mountain,Central,Population Influence per km Road,1365.0
Dolakha,Janakpur,Mountain,Central,Road Density (km./100 sq.km.),6.0
Sindhupalchok,Bagmati,Mountain,Central,Population 2011,287798.0
Sindhupalchok,Bagmati,Mountain,Central,Total Area  in Sq.km,2542.0
Sindhupalchok,Bagmati,Mountain,Central,Type of Road Black Topped,107.31
Sindhupalchok,Bagmati,Mountain,Central,Type of Road Graveled ,19.84
Sindhupalchok,Bagmati,Mountain,Central,Type of Road Earthern,69.1
Sindhupalchok,Bagmati,Mountain,Central,Total Road,196.25
Sindhupalchok,Bagmati,Mountain,Central,Population Influence per km Road,1466.0
Sindhupalchok,Bagmati,Mountain,Central,Road Density (km./100 sq.km.),8.0
Kavre,Bagmati,Hill,Central,Population 2011,381937.0
Kavre,Bagmati,Hill,Central,Total Area  in Sq.km,1396.0
Kavre,Bagmati,Hill,Central,Type of Road Black Topped,111.09
Kavre,Bagmati,Hill,Central,Type of Road Graveled ,33.73
Kavre,Bagmati,Hill,Central,Type of Road Earthern,4.3
Kavre,Bagmati,Hill,Central,Total Road,149.12
Kavre,Bagmati,Hill,Central,Population Influence per km Road,2561.0
Kavre,Bagmati,Hill,Central,Road Density (km./100 sq.km.),11.0
Lalitpur,Bagmati,Hill,Central,Population 2011,468132.0
Lalitpur,Bagmati,Hill,Central,Total Area  in Sq.km,385.0
Lalitpur,Bagmati,Hill,Central,Type of Road Black Topped,61.37
Lalitpur,Bagmati,Hill,Central,Type of Road Graveled ,36.04
Lalitpur,Bagmati,Hill,Central,Type of Road Earthern,33.2
Lalitpur,Bagmati,Hill,Central,Total Road,130.61
Lalitpur,Bagmati,Hill,Central,Population Influence per km Road,3584.0
Lalitpur,Bagmati,Hill,Central,Road Density (km./100 sq.km.),34.0
Bhaktapur,Bagmati,Hill,Central,Population 2011,304651.0
Bhaktapur,Bagmati,Hill,Central,Total Area  in Sq.km,119.0
Bhaktapur,Bagmati,Hill,Central,Type of Road Black Topped,81.5
Bhaktapur,Bagmati,Hill,Central,Type of Road Graveled ,23.09
Bhaktapur,Bagmati,Hill,Central,Type of Road Earthern,7.0
Bhaktapur,Bagmati,Hill,Central,Total Road,111.59
Bhaktapur,Bagmati,Hill,Central,Population Influence per km Road,2730.0
Bhaktapur,Bagmati,Hill,Central,Road Density (km./100 sq.km.),94.0
Kathmandu,Bagmati,Hill,Central,Population 2011,1744240.0
Kathmandu,Bagmati,Hill,Central,Total Area  in Sq.km,395.0
Kathmandu,Bagmati,Hill,Central,Type of Road Black Topped,149.59
Kathmandu,Bagmati,Hill,Central,Type of Road Graveled ,34.1
Kathmandu,Bagmati,Hill,Central,Type of Road Earthern,37.2
Kathmandu,Bagmati,Hill,Central,Total Road,220.89
Kathmandu,Bagmati,Hill,Central,Population Influence per km Road,7896.0
Kathmandu,Bagmati,Hill,Central,Road Density (km./100 sq.km.),56.0
